Node,S1,S2,S12,N,XYZ
170,416.99395707971894,280.91077990254803,-376.6768166889573,170,[3.159451 3.384949 0.      ]
171,40.51013448878962,641.2868740346236,174.7897314509125,171,[3.081666 3.408586 0.      ]
172,-235.61727087083545,-577.3190844520632,-38.632787547718614,172,[3.       3.416667 0.      ]
173,19.623023711401174,419.23092893050887,-81.8114169599423,173,[2.918334 3.408586 0.      ]
174,226.82254155512055,258.79507023346935,215.07245486528052,174,[2.840549 3.384949 0.      ]
175,194.46998141977292,154.37422657619868,120.84479455911674,175,[2.768833 3.346661 0.      ]
176,2986.410188871725,-1171.723617589144,-3203.6432377553897,176,[2.705372 3.294628 0.      ]
177,-525.7404125941123,317.26334519965343,-5427.710255822399,177,[2.653339 3.231167 0.      ]
178,-3762.112985320016,1924.3703280565019,-3803.072987979429,178,[2.615051 3.159451 0.      ]
179,-5178.836547516641,3290.367124814977,-980.5555471788986,179,[2.591414 3.081666 0.      ]
180,-3253.3779447319926,6198.722762392484,2469.3771668902136,180,[3.326869 3.065333 0.      ]
181,-542.0018329885368,4295.203225563815,4644.872643435239,181,[3.307959 3.127561 0.      ]
182,3531.1734975492036,103.70455500605124,4964.406134988151,182,[3.277329 3.184934 0.      ]
183,-1401.7810114889714,-963.8487322223154,1660.2528453998948,183,[3.235702 3.235702 0.      ]
184,-7095.080424277138,1093.008171482518,-781.9269367482082,184,[3.184934 3.277329 0.      ]
185,-4177.587405967236,358.3785960695812,-178.95636930408307,185,[3.127561 3.307959 0.      ]
186,-3054.857394615239,-492.52298712845027,-44.02960449319039,186,[3.065333 3.326869 0.      ]
187,-2928.2369423095665,-632.8254912451205,-96.56681545875092,187,[3.       3.333333 0.      ]
188,-3376.2256508799783,-388.8314236671024,-168.12958693991217,188,[2.934667 3.326869 0.      ]
189,-5137.63124326649,786.3371813108334,81.50274522180666,189,[2.872439 3.307959 0.      ]
190,-8546.016822931497,1818.2266186836973,1253.7756773752667,190,[2.815066 3.277329 0.      ]
191,-1626.0268576202436,-726.6568185189878,-1502.9550906336108,191,[2.764298 3.235702 0.      ]
192,3080.0622160934,1830.1167283179293,-5436.981217726805,192,[2.722671 3.184934 0.      ]
193,-725.9613386753084,5176.5639215381225,-4668.146986251541,193,[2.692041 3.127561 0.      ]
194,-3390.1422285245426,6635.345047123887,-2397.3255710797002,194,[2.673131 3.065333 0.      ]
195,-5197.296838633125,1643.783363552166,1925.670089675958,195,[3.449445 3.089833 0.      ]
196,-4093.6026093338564,3227.070196688034,847.5091660751184,196,[3.412626 3.040833 0.      ]
197,-3078.3646214316313,2662.1351223971037,184.71318393101376,197,[3.458333 3.       0.      ]
198,-4277.349759557214,-423.5320103491164,4077.304320666976,198,[3.423444 3.175396 0.      ]
199,-4007.741919922516,2034.570870483301,3221.566097281425,199,[3.396768 3.120559 0.      ]
200,-571.0795529492285,-3270.974069199129,5076.533076195536,200,[3.381327 3.254284 0.      ]
201,-680.3248081238003,-648.7057450110614,4988.865021397465,201,[3.365805 3.195309 0.      ]
202,4995.008870640552,-959.492859014832,2031.1045195472484,202,[3.324091 3.324091 0.      ]
203,3907.6036600918906,-2434.5980607803594,3780.4731859446947,203,[3.320644 3.262898 0.      ]
204,5752.170758904336,816.3904115957689,1685.5888456810908,204,[3.254284 3.381327 0.      ]
205,-205.22114160144383,-233.16584651239395,128.42659527561136,205,[3.262898 3.320644 0.      ]
