NID,U1,U2
247,0.001973245155350262,7.74189161185046e-05
248,0.0018409342886498172,-1.4436932001636467e-05
249,0.001913531575043584,1.9666993827700133e-05
250,0.0017315956500441457,-7.285102681193105e-05
251,0.0018118421075297283,-5.022441372211737e-05
252,0.0016208650744464913,-9.985470531354368e-05
253,0.0016980795487825076,-9.820569291872918e-05
254,0.0015322822498467724,-9.509485507532574e-05
255,0.0015952841185983757,-0.0001118584127965687
256,0.0014831005533543513,-6.205172210984392e-05
257,0.0015273588709506223,-8.69849885319439e-05
258,0.001497745875303914,-4.217564782524477e-05
259,0.002503985639900346,-0.00013564200665181162
260,0.00252622501251794,-8.475384267953967e-05
261,0.0024455410290198246,-0.0001722048269096528
262,0.002347915142523771,-0.0001741658761188933
263,0.002226436931275724,-0.00011869006098764174
264,0.0021060753092349625,-4.316863454776771e-05
265,0.0020347966862466773,3.2762425989271624e-05
266,0.0020098255024509227,8.614577679140776e-05
267,0.002007546566977315,0.00010796732739235969
268,0.002005923825742552,9.398926950886818e-05
269,0.0019816156795815195,4.655448325350666e-05
270,0.0019076260033453892,-2.4736661697303577e-05
271,0.0017835713995226414,-9.126181401726716e-05
272,0.0016663607706813347,-0.00012783629287277273
273,0.001578592532993145,-0.00011153987010847201
274,0.0015304738879140531,-6.749329095413402e-05
275,0.001519377601002797,-1.3403061023727008e-05
276,0.0014686968095963607,1.4994071869702464e-05
277,0.0015314504320221695,3.8356287395771694e-05
278,0.0016441793572780155,2.216050169725171e-05
279,0.0017642682974985514,-3.32608136881624e-05
280,0.001855921498758196,-9.277134553768505e-05
281,0.0019327876526987425,-0.00014615704468923563
282,0.0019927032888225945,-0.0001852475932819379
283,0.0020343877035078413,-0.00020267110633055463
284,0.0020750873380748327,-0.00018925051360476575
285,0.002133667856721525,-0.0001490374140612549
286,0.0022259868689317227,-8.354540091632656e-05
287,0.002341453558425119,-2.9220122282232766e-05
288,0.0024538924797588256,-7.912206425958051e-06
289,0.0025411864681372763,-1.5346943645517285e-05
